tableCount=1
rows=31 cols=5
Afghanistan,Kabul,4601789,11.5%,2021
Albania,Tirana,557422,19.5%,2011
Algeria,Algiers,3915811,8.9%,2011
"American Samoa (USA)","Pago Pago",3656,8.1%,2010
Andorra,"Andorra la Vella",22873,28.9%,2022
Angola,Luanda,2571861,7.5%,2020
"Anguilla (UK)","The Valley",1067,6.8%,2011
"Antigua and Barbuda","St. John's",22219,23.8%,2011
Argentina,"Buenos Aires",2891082,6.4%,2010
Armenia,Yerevan,1096100,39.3%,2021
"Aruba (Netherlands)",Oranjestad,28294,26.6%,2010
Australia,Canberra,431380,1.7%,2020
Austria,Vienna,1962779,22.0%,2022
Azerbaijan,Baku,2303100,22.3%,2022
Bahamas,Nassau,274400,67.3%,2016
Bahrain,Manama,200000,13.7%,2020
Bangladesh,Dhaka,8906039,5.3%,2011
Barbados,Bridgetown,110000,39.1%,2014
Belarus,Minsk,1996553,20.8%,2022
Belgium,Brussels,187686,1.6%,2022
Belize,Belmopan,20621,5.2%,2016
Benin,Porto-Novo,264320,2.0%,2013
"Bermuda (UK)",Hamilton,854,1.3%,2016
Bhutan,Thimphu,114551,14.7%,2017
Bolivia,Sucre,360544,3.0%,2022
"Bosnia and Herzegovina",Sarajevo,275524,8.4%,2013
Botswana,Gaborone,273602,10.6%,2020
Brazil,Brasília,2648532,1.2%,2012
"British Virgin Islands (UK)","Road Town",12603,40.5%,2012
Brunei,"Bandar Seri Begawan",100700,22.6%,2007
Bulgaria,Sofia,1307439,19.0%,2021
